Postcode,District,Area,Taluka,PostalStatus
400001,Mumbai,Bazargate ,Mumbai,Sub Office
400001,Mumbai,M P T ,Mumbai,Sub Office
400001,Mumbai,Stock Exchange ,Mumbai,Sub Office
400001,Mumbai,Tajmahal ,Mumbai,Sub Office
400001,Mumbai,Town Hall Mumbai ,Mumbai,Sub Office
400001,Mumbai,Mumbai G P O ,Mumbai,Head Office
400002,Mumbai,Kalbadevi ,Mumbai,Head Office
400002,Mumbai,Ramwadi ,Mumbai,Sub Office
400002,Mumbai,S C Court ,Mumbai,Sub Office
400002,Mumbai,Thakurdwar ,Mumbai,Sub Office
400003,Mumbai,B P Lane ,Mumbai East,Sub Office
400003,Mumbai,Mandvi Mumbai ,Mumbai East,Sub Office
400003,Mumbai,Masjid ,Mumbai East,Sub Office
400003,Mumbai,Null Bazar ,Mumbai East,Sub Office
400004,Mumbai,Ambewadi Mumbai ,Mumbai,Sub Office
400004,Mumbai,Charni Road ,Mumbai,Sub Office
400004,Mumbai,Chaupati ,Mumbai,Sub Office
400004,Mumbai,Girgaon ,Mumbai,Sub Office
400004,Mumbai,Madhavbaug ,Mumbai,Sub Office
400004,Mumbai,Opera House ,Mumbai,Sub Office
400005,Mumbai,Asvini ,Mumbai,Sub Office
400005,Mumbai,Colaba Bazar ,Mumbai South,Sub Office
400005,Mumbai,Colaba ,Mumbai,Sub Office
400005,Mumbai,Holiday Camp ,Mumbai,Sub Office
400005,Mumbai,V W T C ,Mumbai,Sub Office
400006,Mumbai,Malabar Hill ,Mumbai,Sub Office
400007,Mumbai,Bharat Nagar Mumbai ,Mumbai,Sub Office
400007,Mumbai,Grant Road ,Mumbai,Sub Office
400007,Mumbai,N S Patkar Marg ,Mumbai,Sub Office
400007,Mumbai,S V Marg ,Mumbai,Sub Office
400007,Mumbai,Tardeo ,Mumbai,Sub Office
400008,Mumbai,Falkland Road ,Mumbai,Sub Office
400008,Mumbai,J J Hospital ,Mumbai,Sub Office
400008,Mumbai,Kamathipura ,Mumbai,Sub Office
400008,Mumbai,M A Marg ,Mumbai,Sub Office
400008,Mumbai,Mumbai Central ,Mumbai,Head Office
400009,Mumbai,Chinchbunder ,Mumbai East,Head Office
400009,Mumbai,Noor Baug ,Mumbai East,Sub Office
